feature,f_values,p_values,significant
SE1_mean,374.19786846346915,4.3355648549986685e-127,True
EPS1_mean,348.302825523006,4.6100744742555905e-120,True
FS1_mean,330.4143657473766,4.271343533661672e-115,True
PS3_mean,326.67999082802186,4.780386405152815e-114,True
PS1_mean,217.68761589467303,2.0423513492033172e-81,True
PS2_mean,213.6938425116276,3.8619509328739524e-80,True
VS1_mean,161.3893051031878,8.121274845276161e-63,True
FS2_mean,34.217429699598064,3.5226134685292907e-15,True
TS3_mean,23.201758174126333,1.2974374197128586e-10,True
TS4_mean,21.668857746946358,5.686941764684284e-10,True
TS1_mean,21.059805348483366,1.0240336630711829e-09,True
PS5_mean,18.302771379205094,1.4782364202167427e-08,True
PS6_mean,18.105541400022073,1.7901260011383133e-08,True
PS4_mean,16.599663455321608,7.736426729418444e-08,True
TS2_mean,11.817443606584131,8.270169185653416e-06,True
CE1_mean,5.463312761611192,0.004345341815405961,True
CP1_mean,3.8663535322936857,0.021195203984101497,True
